Entity,Code,Year,Marine protected areas (% of territorial waters)
Albania,ALB,2013,1.4
Albania,ALB,2014,1
Albania,ALB,2015,1
Albania,ALB,2016,2.7
Albania,ALB,2017,2.7
Albania,ALB,2018,2.7
Albania,ALB,2019,2.8
Albania,ALB,2020,2.8
Albania,ALB,2021,2.8
Albania,ALB,2022,2.8
Albania,ALB,2023,2.8
Albania,ALB,2024,3.4
Algeria,DZA,2013,0.1
Algeria,DZA,2014,0.3
Algeria,DZA,2015,0.1
Algeria,DZA,2016,0.1
Algeria,DZA,2017,0.1
Algeria,DZA,2018,0.1
Algeria,DZA,2019,0.1
Algeria,DZA,2020,0.1
Algeria,DZA,2021,0.1
Algeria,DZA,2022,0.1
Algeria,DZA,2023,0.1
Algeria,DZA,2024,0.1
American Samoa,ASM,2013,8.6
American Samoa,ASM,2014,8.7
American Samoa,ASM,2015,8.7
American Samoa,ASM,2016,8.7
American Samoa,ASM,2017,8.7
American Samoa,ASM,2018,8.7
American Samoa,ASM,2019,8.7
American Samoa,ASM,2020,0
American Samoa,ASM,2021,8.7
American Samoa,ASM,2022,8.7
American Samoa,ASM,2023,8.7
American Samoa,ASM,2024,8.7
Angola,AGO,2013,0
Angola,AGO,2014,0
Angola,AGO,2015,0
Angola,AGO,2016,0
Angola,AGO,2017,0
Angola,AGO,2018,0
Angola,AGO,2019,0
Angola,AGO,2020,0
Angola,AGO,2021,0
Angola,AGO,2022,0
Angola,AGO,2023,0
Angola,AGO,2024,0
Antigua and Barbuda,ATG,2013,0.1
Antigua and Barbuda,ATG,2014,0.2
Antigua and Barbuda,ATG,2015,0.2
Antigua and Barbuda,ATG,2016,0.2
Antigua and Barbuda,ATG,2017,0.2
Antigua and Barbuda,ATG,2018,0.2
Antigua and Barbuda,ATG,2019,0.2
Antigua and Barbuda,ATG,2020,0.3
Antigua and Barbuda,ATG,2021,0.3
Antigua and Barbuda,ATG,2022,0.3
Antigua and Barbuda,ATG,2023,0.3
Antigua and Barbuda,ATG,2024,0.7
Argentina,ARG,2013,0.3
Argentina,ARG,2014,3.8
Argentina,ARG,2015,4
Argentina,ARG,2016,4
Argentina,ARG,2017,4
Argentina,ARG,2018,3.8
Argentina,ARG,2019,11.8
Argentina,ARG,2020,11.8
Argentina,ARG,2021,11.8
Argentina,ARG,2022,11.8
Argentina,ARG,2023,11.8
Argentina,ARG,2024,12
Aruba,ABW,2013,0
Aruba,ABW,2014,0
Aruba,ABW,2015,0
Aruba,ABW,2016,0
Aruba,ABW,2017,0
Aruba,ABW,2018,0
Aruba,ABW,2019,0
Aruba,ABW,2020,0
Aruba,ABW,2021,0
Aruba,ABW,2022,0
Aruba,ABW,2023,0
Aruba,ABW,2024,0
Australia,AUS,2013,43.9
Australia,AUS,2014,44
Australia,AUS,2015,43.2
Australia,AUS,2016,40.7
Australia,AUS,2017,40.6
Australia,AUS,2018,40.6
Australia,AUS,2019,40.8
Australia,AUS,2020,40.8
Australia,AUS,2021,44.3
Australia,AUS,2022,44.3
Australia,AUS,2023,44.3
Australia,AUS,2024,45.4
Azerbaijan,AZE,2013,0.4
Azerbaijan,AZE,2014,0.4
Azerbaijan,AZE,2015,0.4
Azerbaijan,AZE,2016,0.4
Azerbaijan,AZE,2017,0.4
Azerbaijan,AZE,2018,0.4
Azerbaijan,AZE,2019,0.4
Azerbaijan,AZE,2020,0.4
Azerbaijan,AZE,2021,0.4
Azerbaijan,AZE,2022,0.4
Azerbaijan,AZE,2023,0.4
Azerbaijan,AZE,2024,1
Bahamas,BHS,2013,0.2
Bahamas,BHS,2014,0.2
Bahamas,BHS,2015,0.6
Bahamas,BHS,2016,0.6
Bahamas,BHS,2017,7.9
Bahamas,BHS,2018,7.9
Bahamas,BHS,2019,7.9
Bahamas,BHS,2020,7.9
Bahamas,BHS,2021,7.9
Bahamas,BHS,2022,7.9
Bahamas,BHS,2023,7.9
Bahamas,BHS,2024,7.7
Bahrain,BHR,2013,6.4
Bahrain,BHR,2014,6.4
Bahrain,BHR,2015,1.2
Bahrain,BHR,2016,1.2
Bahrain,BHR,2017,1.2
Bahrain,BHR,2018,1.2
Bahrain,BHR,2019,1.2
Bahrain,BHR,2020,1.2
Bahrain,BHR,2021,1.2
Bahrain,BHR,2022,21.1
Bahrain,BHR,2023,21.1
Bahrain,BHR,2024,21.4
Bangladesh,BGD,2013,1.4
Bangladesh,BGD,2014,5.4
Bangladesh,BGD,2015,5.4
Bangladesh,BGD,2016,5.4
Bangladesh,BGD,2017,5.4
Bangladesh,BGD,2018,5.4
Bangladesh,BGD,2019,5.4
Bangladesh,BGD,2020,5.4
Bangladesh,BGD,2021,5.4
Bangladesh,BGD,2022,5.4
Bangladesh,BGD,2023,8
Bangladesh,BGD,2024,8
Barbados,BRB,2013,0
Barbados,BRB,2014,0
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Barbados,BRB,2017,0
Barbados,BRB,2018,0
Barbados,BRB,2019,0
Barbados,BRB,2020,0
Barbados,BRB,2021,0
Barbados,BRB,2022,0
Barbados,BRB,2023,0
Barbados,BRB,2024,0
Belgium,BEL,2013,36.7
Belgium,BEL,2014,36.6
Belgium,BEL,2015,36.6
Belgium,BEL,2016,36.7
Belgium,BEL,2017,36.6
Belgium,BEL,2018,36.7
Belgium,BEL,2019,36.7
Belgium,BEL,2020,36.7
Belgium,BEL,2021,38.1
Belgium,BEL,2022,38.1
Belgium,BEL,2023,38.1
Belgium,BEL,2024,38.3
Belize,BLZ,2013,6.9
Belize,BLZ,2014,10.1
Belize,BLZ,2015,10.1
Belize,BLZ,2016,10.1
Belize,BLZ,2017,10.1
Belize,BLZ,2018,10.1
Belize,BLZ,2019,10.1
Belize,BLZ,2020,11
Belize,BLZ,2021,11
Belize,BLZ,2022,11
Belize,BLZ,2023,11
Belize,BLZ,2024,20.4
Benin,BEN,2013,0
Benin,BEN,2014,0
Benin,BEN,2015,0
Benin,BEN,2016,0
Benin,BEN,2017,0
Benin,BEN,2018,0
Benin,BEN,2019,0
Benin,BEN,2020,0
Benin,BEN,2021,0
Benin,BEN,2022,0
Benin,BEN,2023,0
Benin,BEN,2024,0
Bermuda,BMU,2013,0
Bermuda,BMU,2014,0
Bermuda,BMU,2015,0
Bermuda,BMU,2016,0
Bermuda,BMU,2017,0
Bermuda,BMU,2018,0
Bermuda,BMU,2019,0
Bermuda,BMU,2020,0
Bermuda,BMU,2021,0
Bermuda,BMU,2022,0
Bermuda,BMU,2023,0
Bermuda,BMU,2024,0
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2014,0
Bosnia and Herzegovina,BIH,2015,0
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Bosnia and Herzegovina,BIH,2019,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Bosnia and Herzegovina,BIH,2022,0
Bosnia and Herzegovina,BIH,2023,0
Bosnia and Herzegovina,BIH,2024,0
Brazil,BRA,2013,1.3
Brazil,BRA,2014,1.6
Brazil,BRA,2015,1.6
Brazil,BRA,2016,1.7
Brazil,BRA,2017,1.7
Brazil,BRA,2018,26.6
Brazil,BRA,2019,26.8
Brazil,BRA,2020,26.8
Brazil,BRA,2021,26.8
Brazil,BRA,2022,26.8
Brazil,BRA,2023,26.8
Brazil,BRA,2024,26.6
British Virgin Islands,VGB,2013,0.1
British Virgin Islands,VGB,2014,0.1
British Virgin Islands,VGB,2015,0.1
British Virgin Islands,VGB,2016,0.1
British Virgin Islands,VGB,2017,0
British Virgin Islands,VGB,2018,0
British Virgin Islands,VGB,2019,0
British Virgin Islands,VGB,2020,0
British Virgin Islands,VGB,2021,0
British Virgin Islands,VGB,2022,0
British Virgin Islands,VGB,2023,0
British Virgin Islands,VGB,2024,0
Brunei,BRN,2013,0.2
Brunei,BRN,2014,0.2
Brunei,BRN,2015,0.2
Brunei,BRN,2016,0.2
Brunei,BRN,2017,0.2
Brunei,BRN,2018,0.2
Brunei,BRN,2019,0.2
Brunei,BRN,2020,0.2
Brunei,BRN,2021,0.2
Brunei,BRN,2022,0.2
Brunei,BRN,2023,0.2
Brunei,BRN,2024,0
Bulgaria,BGR,2013,2.9
Bulgaria,BGR,2014,2.9
Bulgaria,BGR,2015,8.1
Bulgaria,BGR,2016,8.1
Bulgaria,BGR,2017,8.1
Bulgaria,BGR,2018,8.1
Bulgaria,BGR,2019,8.1
Bulgaria,BGR,2020,8.1
Bulgaria,BGR,2021,8.1
Bulgaria,BGR,2022,8.1
Bulgaria,BGR,2023,8.1
Bulgaria,BGR,2024,8.2
Cambodia,KHM,2013,0.2
Cambodia,KHM,2014,0.2
Cambodia,KHM,2015,0.2
Cambodia,KHM,2016,0.2
Cambodia,KHM,2017,0.2
Cambodia,KHM,2018,0.2
Cambodia,KHM,2019,0.2
Cambodia,KHM,2020,1.4
Cambodia,KHM,2021,1.4
Cambodia,KHM,2022,1.4
Cambodia,KHM,2023,1.4
Cambodia,KHM,2024,1.5
Cameroon,CMR,2013,3.9
Cameroon,CMR,2014,3.9
Cameroon,CMR,2015,3.9
Cameroon,CMR,2016,3.4
Cameroon,CMR,2017,3.4
Cameroon,CMR,2018,3.4
Cameroon,CMR,2019,11.5
Cameroon,CMR,2020,10.9
Cameroon,CMR,2021,10.9
Cameroon,CMR,2022,10.9
Cameroon,CMR,2023,10.9
Cameroon,CMR,2024,11.4
Canada,CAN,2013,0.8
Canada,CAN,2014,0.8
Canada,CAN,2015,0.9
Canada,CAN,2016,0.9
Canada,CAN,2017,0.9
Canada,CAN,2018,2.9
Canada,CAN,2019,3.1
Canada,CAN,2020,8.8
Canada,CAN,2021,8.9
Canada,CAN,2022,9.1
Canada,CAN,2023,9.1
Canada,CAN,2024,9.2
Cape Verde,CPV,2013,0
Cape Verde,CPV,2014,0
Cape Verde,CPV,2015,0
Cape Verde,CPV,2016,0
Cape Verde,CPV,2017,0
Cape Verde,CPV,2018,0
Cape Verde,CPV,2019,0
Cape Verde,CPV,2020,0
Cape Verde,CPV,2021,0
Cape Verde,CPV,2022,0
Cape Verde,CPV,2023,0
Cape Verde,CPV,2024,0.1
Cayman Islands,CYM,2013,0.1
Cayman Islands,CYM,2014,0.1
Cayman Islands,CYM,2015,0.1
Cayman Islands,CYM,2016,0.1
Cayman Islands,CYM,2017,0.1
Cayman Islands,CYM,2018,0.1
Cayman Islands,CYM,2019,0.1
Cayman Islands,CYM,2020,0.1
Cayman Islands,CYM,2021,0.1
Cayman Islands,CYM,2022,0.1
Cayman Islands,CYM,2023,0.1
Cayman Islands,CYM,2024,0.1
Chile,CHL,2013,4.4
Chile,CHL,2014,4.4
Chile,CHL,2015,4.4
Chile,CHL,2016,12.6
Chile,CHL,2017,12.9
Chile,CHL,2018,28.8
Chile,CHL,2019,41.2
Chile,CHL,2020,41.3
Chile,CHL,2021,41.3
Chile,CHL,2022,41.4
Chile,CHL,2023,41.4
Chile,CHL,2024,41.2
China,CHN,2013,3.4
China,CHN,2014,3.7
China,CHN,2015,3.7
China,CHN,2016,3.8
China,CHN,2017,3.8
China,CHN,2018,5.4
China,CHN,2019,5.4
China,CHN,2020,5.5
China,CHN,2021,5.5
China,CHN,2022,5.5
China,CHN,2023,5.5
China,CHN,2024,4.8
Colombia,COL,2013,10.2
Colombia,COL,2014,10.2
Colombia,COL,2015,2.1
Colombia,COL,2016,2.1
Colombia,COL,2017,10.4
Colombia,COL,2018,17.1
Colombia,COL,2019,17.1
Colombia,COL,2020,17.2
Colombia,COL,2021,17.2
Colombia,COL,2022,17.1
Colombia,COL,2023,17.1
Colombia,COL,2024,41.1
Comoros,COM,2013,0.2
Comoros,COM,2014,0
Comoros,COM,2015,0
Comoros,COM,2016,0
Comoros,COM,2017,0
Comoros,COM,2018,0
Comoros,COM,2019,0
Comoros,COM,2020,0.4
Comoros,COM,2021,0.4
Comoros,COM,2022,0.4
Comoros,COM,2023,0.4
Comoros,COM,2024,0.4
Congo,COG,2013,3.2
Congo,COG,2014,3.2
Congo,COG,2015,3.2
Congo,COG,2016,3.2
Congo,COG,2017,3.2
Congo,COG,2018,3.2
Congo,COG,2019,3.2
Congo,COG,2020,3
Congo,COG,2021,3
Congo,COG,2022,3
Congo,COG,2023,3
Congo,COG,2024,3.5
Costa Rica,CRI,2013,0.8
Costa Rica,CRI,2014,0.8
Costa Rica,CRI,2015,0.8
Costa Rica,CRI,2016,0.8
Costa Rica,CRI,2017,0.8
Costa Rica,CRI,2018,0.8
Costa Rica,CRI,2019,2.6
Costa Rica,CRI,2020,2.7
Costa Rica,CRI,2021,2.7
Costa Rica,CRI,2022,29
Costa Rica,CRI,2023,29
Costa Rica,CRI,2024,28.4
Cote d'Ivoire,CIV,2013,0.1
Cote d'Ivoire,CIV,2014,0.1
Cote d'Ivoire,CIV,2015,0.1
Cote d'Ivoire,CIV,2016,0.1
Cote d'Ivoire,CIV,2017,0.1
Cote d'Ivoire,CIV,2018,0.1
Cote d'Ivoire,CIV,2019,0.1
Cote d'Ivoire,CIV,2020,0.1
Cote d'Ivoire,CIV,2021,0.1
Cote d'Ivoire,CIV,2022,0.1
Cote d'Ivoire,CIV,2023,0.1
Cote d'Ivoire,CIV,2024,0.1
Croatia,HRV,2013,2
Croatia,HRV,2014,9.1
Croatia,HRV,2015,9.1
Croatia,HRV,2016,8.5
Croatia,HRV,2017,8.5
Croatia,HRV,2018,8.5
Croatia,HRV,2019,8.5
Croatia,HRV,2020,9
Croatia,HRV,2021,9
Croatia,HRV,2022,9
Croatia,HRV,2023,9
Croatia,HRV,2024,9.3
Cuba,CUB,2013,2.6
Cuba,CUB,2014,2.6
Cuba,CUB,2015,2.6
Cuba,CUB,2016,4.3
Cuba,CUB,2017,4.3
Cuba,CUB,2018,4.3
Cuba,CUB,2019,3.9
Cuba,CUB,2020,3.9
Cuba,CUB,2021,3.9
Cuba,CUB,2022,3.9
Cuba,CUB,2023,3.9
Cuba,CUB,2024,4.2
Curacao,CUW,2013,0
Curacao,CUW,2014,0
Curacao,CUW,2015,0
Curacao,CUW,2016,0
Curacao,CUW,2017,0
Curacao,CUW,2018,0
Curacao,CUW,2019,0
Curacao,CUW,2020,0
Curacao,CUW,2021,0
Curacao,CUW,2022,0
Curacao,CUW,2023,0
Curacao,CUW,2024,0
Cyprus,CYP,2013,0.2
Cyprus,CYP,2014,0.1
Cyprus,CYP,2015,0.1
Cyprus,CYP,2016,0.1
Cyprus,CYP,2017,0.1
Cyprus,CYP,2018,0.1
Cyprus,CYP,2019,0.1
Cyprus,CYP,2020,8.6
Cyprus,CYP,2021,8.6
Cyprus,CYP,2022,8.6
Cyprus,CYP,2023,8.6
Cyprus,CYP,2024,8.6
Democratic Republic of Congo,COD,2013,0.2
Democratic Republic of Congo,COD,2014,0.2
Democratic Republic of Congo,COD,2015,0.2
Democratic Republic of Congo,COD,2016,0.2
Democratic Republic of Congo,COD,2017,0.2
Democratic Republic of Congo,COD,2018,0.2
Democratic Republic of Congo,COD,2019,0.2
Democratic Republic of Congo,COD,2020,0.2
Democratic Republic of Congo,COD,2021,0.2
Democratic Republic of Congo,COD,2022,0.2
Democratic Republic of Congo,COD,2023,0.2
Democratic Republic of Congo,COD,2024,0.5
Denmark,DNK,2013,17.6
Denmark,DNK,2014,18.2
Denmark,DNK,2015,18.2
Denmark,DNK,2016,17.8
Denmark,DNK,2017,18.2
Denmark,DNK,2018,17.8
Denmark,DNK,2019,17.9
Denmark,DNK,2020,18.3
Denmark,DNK,2021,18.3
Denmark,DNK,2022,18.3
Denmark,DNK,2023,18.3
Denmark,DNK,2024,18.6
Djibouti,DJI,2013,0.3
Djibouti,DJI,2014,0.2
Djibouti,DJI,2015,0.2
Djibouti,DJI,2016,0.2
Djibouti,DJI,2017,0.2
Djibouti,DJI,2018,0.2
Djibouti,DJI,2019,0.2
Djibouti,DJI,2020,0.2
Djibouti,DJI,2021,0.2
Djibouti,DJI,2022,0.2
Djibouti,DJI,2023,0.2
Djibouti,DJI,2024,0.2
Dominica,DMA,2013,0
Dominica,DMA,2014,0
Dominica,DMA,2015,0
Dominica,DMA,2016,0.1
Dominica,DMA,2017,0.1
Dominica,DMA,2018,0.1
Dominica,DMA,2019,0
Dominica,DMA,2020,0
Dominica,DMA,2021,0
Dominica,DMA,2022,0
Dominica,DMA,2023,0
Dominica,DMA,2024,0.1
Dominican Republic,DOM,2013,9
Dominican Republic,DOM,2014,9.1
Dominican Republic,DOM,2015,9.1
Dominican Republic,DOM,2016,9.1
Dominican Republic,DOM,2017,9.1
Dominican Republic,DOM,2018,18
Dominican Republic,DOM,2019,18
Dominican Republic,DOM,2020,18
Dominican Republic,DOM,2021,18
Dominican Republic,DOM,2022,17.3
Dominican Republic,DOM,2023,17.3
Dominican Republic,DOM,2024,13.3
East Asia and Pacific (WB),WB_EAP,2013,10.700952
East Asia and Pacific (WB),WB_EAP,2014,14.482317
East Asia and Pacific (WB),WB_EAP,2015,13.344361
East Asia and Pacific (WB),WB_EAP,2016,14.597954
East Asia and Pacific (WB),WB_EAP,2017,14.5777645
East Asia and Pacific (WB),WB_EAP,2018,14.661763
East Asia and Pacific (WB),WB_EAP,2019,14.758081
East Asia and Pacific (WB),WB_EAP,2020,14.703609
East Asia and Pacific (WB),WB_EAP,2021,15.692548
East Asia and Pacific (WB),WB_EAP,2022,15.692548
East Asia and Pacific (WB),WB_EAP,2023,15.777569
East Asia and Pacific (WB),WB_EAP,2024,15.978222
East Timor,TLS,2013,1.4
East Timor,TLS,2014,1.4
East Timor,TLS,2015,1.4
East Timor,TLS,2016,1.4
East Timor,TLS,2017,1.4
East Timor,TLS,2018,1.4
East Timor,TLS,2019,1.4
East Timor,TLS,2020,1.4
East Timor,TLS,2021,1.4
East Timor,TLS,2022,1.4
East Timor,TLS,2023,1.4
East Timor,TLS,2024,0.7
Ecuador,ECU,2013,13
Ecuador,ECU,2014,13
Ecuador,ECU,2015,13.1
Ecuador,ECU,2016,13.1
Ecuador,ECU,2017,13.1
Ecuador,ECU,2018,13.3
Ecuador,ECU,2019,13.3
Ecuador,ECU,2020,13.3
Ecuador,ECU,2021,13.3
Ecuador,ECU,2022,19.1
Ecuador,ECU,2023,19.1
Ecuador,ECU,2024,19.3
Egypt,EGY,2013,5
Egypt,EGY,2014,5
Egypt,EGY,2015,5
Egypt,EGY,2016,5
Egypt,EGY,2017,5
Egypt,EGY,2018,5
Egypt,EGY,2019,5
Egypt,EGY,2020,5
Egypt,EGY,2021,5
Egypt,EGY,2022,5
Egypt,EGY,2023,5
Egypt,EGY,2024,4.6
El Salvador,SLV,2013,0.7
El Salvador,SLV,2014,0.7
El Salvador,SLV,2015,0.7
El Salvador,SLV,2016,0.7
El Salvador,SLV,2017,0.7
El Salvador,SLV,2018,0.7
El Salvador,SLV,2019,0.7
El Salvador,SLV,2020,0.7
El Salvador,SLV,2021,0.7
El Salvador,SLV,2022,0.7
El Salvador,SLV,2023,0.7
El Salvador,SLV,2024,0.8
Equatorial Guinea,GNQ,2013,0.2
Equatorial Guinea,GNQ,2014,0.2
Equatorial Guinea,GNQ,2015,0.2
Equatorial Guinea,GNQ,2016,0.2
Equatorial Guinea,GNQ,2017,0.2
Equatorial Guinea,GNQ,2018,0.2
Equatorial Guinea,GNQ,2019,0.2
Equatorial Guinea,GNQ,2020,0.2
Equatorial Guinea,GNQ,2021,0.2
Equatorial Guinea,GNQ,2022,0.2
Equatorial Guinea,GNQ,2023,0.2
Equatorial Guinea,GNQ,2024,0.3
Eritrea,ERI,2013,0
Eritrea,ERI,2014,0
Eritrea,ERI,2015,0
Eritrea,ERI,2016,0
Eritrea,ERI,2017,0
Eritrea,ERI,2018,0
Eritrea,ERI,2019,0
Eritrea,ERI,2020,0
Eritrea,ERI,2021,0
Eritrea,ERI,2022,0
Eritrea,ERI,2023,0
Eritrea,ERI,2024,0
Estonia,EST,2013,18.6
Estonia,EST,2014,18.6
Estonia,EST,2015,18.6
Estonia,EST,2016,18.6
Estonia,EST,2017,18.6
Estonia,EST,2018,18.6
Estonia,EST,2019,18.6
Estonia,EST,2020,18.8
Estonia,EST,2021,18.8
Estonia,EST,2022,18.8
Estonia,EST,2023,18.8
Estonia,EST,2024,19.3
Europe and Central Asia (WB),WB_ECA,2013,4.0011363
Europe and Central Asia (WB),WB_ECA,2014,4.3759236
Europe and Central Asia (WB),WB_ECA,2015,4.5632663
Europe and Central Asia (WB),WB_ECA,2016,5.3769617
Europe and Central Asia (WB),WB_ECA,2017,6.5745554
Europe and Central Asia (WB),WB_ECA,2018,6.949066
Europe and Central Asia (WB),WB_ECA,2019,7.2746406
Europe and Central Asia (WB),WB_ECA,2020,8.004872
Europe and Central Asia (WB),WB_ECA,2021,8.502832
Europe and Central Asia (WB),WB_ECA,2022,8.507315
Europe and Central Asia (WB),WB_ECA,2023,8.089661
Europe and Central Asia (WB),WB_ECA,2024,8.281324
European Union (27),OWID_EU27,2013,6.445221
European Union (27),OWID_EU27,2014,6.4674463
European Union (27),OWID_EU27,2015,7.6562514
European Union (27),OWID_EU27,2016,9.272272
European Union (27),OWID_EU27,2017,12.413022
European Union (27),OWID_EU27,2018,13.725801
European Union (27),OWID_EU27,2019,14.82598
European Union (27),OWID_EU27,2020,15.259986
European Union (27),OWID_EU27,2021,15.325377
European Union (27),OWID_EU27,2022,15.357484
European Union (27),OWID_EU27,2023,15.357484
European Union (27),OWID_EU27,2024,15.462883
Faroe Islands,FRO,2013,0
Faroe Islands,FRO,2014,0
Faroe Islands,FRO,2015,0
Faroe Islands,FRO,2016,0
Faroe Islands,FRO,2017,0
Faroe Islands,FRO,2018,0
Faroe Islands,FRO,2019,0
Faroe Islands,FRO,2020,0
Faroe Islands,FRO,2021,0
Faroe Islands,FRO,2022,0
Faroe Islands,FRO,2023,0
Faroe Islands,FRO,2024,0
Fiji,FJI,2013,0.9
Fiji,FJI,2014,0.9
Fiji,FJI,2015,0.9
Fiji,FJI,2016,0.9
Fiji,FJI,2017,0.9
Fiji,FJI,2018,0.9
Fiji,FJI,2019,0.9
Fiji,FJI,2020,0.9
Fiji,FJI,2021,0.9
Fiji,FJI,2022,0.9
Fiji,FJI,2023,0.9
Fiji,FJI,2024,0.9
Finland,FIN,2013,9.7
Finland,FIN,2014,11
Finland,FIN,2015,11
Finland,FIN,2016,11.1
Finland,FIN,2017,10.5
Finland,FIN,2018,10.5
Finland,FIN,2019,12.1
Finland,FIN,2020,12
Finland,FIN,2021,12
Finland,FIN,2022,12
Finland,FIN,2023,12
Finland,FIN,2024,11.8
France,FRA,2013,20.4
France,FRA,2014,19.8
France,FRA,2015,19.2
France,FRA,2016,26.2
France,FRA,2017,30.7
France,FRA,2018,45
France,FRA,2019,48.9
France,FRA,2020,50.4
France,FRA,2021,49.8
France,FRA,2022,49.8
France,FRA,2023,49.8
France,FRA,2024,49.8
French Polynesia,PYF,2013,0
French Polynesia,PYF,2014,0
French Polynesia,PYF,2015,0
French Polynesia,PYF,2016,0
French Polynesia,PYF,2017,0
French Polynesia,PYF,2018,0
French Polynesia,PYF,2019,0
French Polynesia,PYF,2020,0
French Polynesia,PYF,2021,0
French Polynesia,PYF,2022,0
French Polynesia,PYF,2023,0
French Polynesia,PYF,2024,0
Gabon,GAB,2013,0.9
Gabon,GAB,2014,1
Gabon,GAB,2015,1
Gabon,GAB,2016,1
Gabon,GAB,2017,28.8
Gabon,GAB,2018,28.8
Gabon,GAB,2019,28.8
Gabon,GAB,2020,28.8
Gabon,GAB,2021,28.8
Gabon,GAB,2022,28.8
Gabon,GAB,2023,28.8
Gabon,GAB,2024,26.9
Gambia,GMB,2013,0.1
Gambia,GMB,2014,0.1
Gambia,GMB,2015,0.1
Gambia,GMB,2016,0.1
Gambia,GMB,2017,0.1
Gambia,GMB,2018,0.1
Gambia,GMB,2019,0.1
Gambia,GMB,2020,0.6
Gambia,GMB,2021,0.6
Gambia,GMB,2022,0.6
Gambia,GMB,2023,0.6
Gambia,GMB,2024,0.6
Georgia,GEO,2013,0.7
Georgia,GEO,2014,0.7
Georgia,GEO,2015,0.7
Georgia,GEO,2016,0.7
Georgia,GEO,2017,0.7
Georgia,GEO,2018,0.7
Georgia,GEO,2019,0.7
Georgia,GEO,2020,0.7
Georgia,GEO,2021,0.7
Georgia,GEO,2022,0.7
Georgia,GEO,2023,0.7
Georgia,GEO,2024,0.8
Germany,DEU,2013,45.5
Germany,DEU,2014,45.3
Germany,DEU,2015,45.3
Germany,DEU,2016,45.4
Germany,DEU,2017,45.4
Germany,DEU,2018,45.4
Germany,DEU,2019,45.4
Germany,DEU,2020,45.4
Germany,DEU,2021,45.5
Germany,DEU,2022,45.5
Germany,DEU,2023,45.5
Germany,DEU,2024,45.4
Ghana,GHA,2013,0.1
Ghana,GHA,2014,0.1
Ghana,GHA,2015,0.1
Ghana,GHA,2016,0.1
Ghana,GHA,2017,0.1
Ghana,GHA,2018,0.1
Ghana,GHA,2019,0.1
Ghana,GHA,2020,0.1
Ghana,GHA,2021,0.1
Ghana,GHA,2022,0.1
Ghana,GHA,2023,0.1
Ghana,GHA,2024,0.1
Gibraltar,GIB,2013,0
