Entity,Code,Year,Raspberries | 00000547 || Production | 005510 || tonnes
Australia,AUS,1961,2361
Australia,AUS,1962,2361
Australia,AUS,1963,1734
Australia,AUS,1964,1919
Australia,AUS,1965,1696
Australia,AUS,1966,1782
Australia,AUS,1967,1641
Australia,AUS,1968,1313
Australia,AUS,1969,1311
Australia,AUS,1970,1465
Australia,AUS,1971,1537
Australia,AUS,1972,1464
Australia,AUS,1973,1628
Australia,AUS,1974,1131
Australia,AUS,1975,1345
Australia,AUS,1976,759
Australia,AUS,1977,664
Australia,AUS,1978,643
Australia,AUS,1979,523
Australia,AUS,1980,656
Australia,AUS,1981,602
Australia,AUS,1982,604
Australia,AUS,1983,584
Australia,AUS,1984,431
Australia,AUS,1985,547
Australia,AUS,1986,360
Australia,AUS,1987,481
Australia,AUS,1988,517
Australia,AUS,1989,519
Australia,AUS,1990,572
Australia,AUS,1991,444
Australia,AUS,1992,482
Australia,AUS,1993,537
Australia,AUS,1994,500
Australia,AUS,1995,399
Australia,AUS,1996,370
Australia,AUS,1997,361
Australia,AUS,1998,568
Australia,AUS,1999,600
Australia,AUS,2000,499.43
Australia,AUS,2001,399
Australia,AUS,2002,457
Australia,AUS,2003,633
Australia,AUS,2004,374
Australia,AUS,2005,332
Australia,AUS,2006,532
Australia,AUS,2007,637
Australia,AUS,2008,589.91
Australia,AUS,2009,620
Australia,AUS,2010,646.11
Australia,AUS,2011,797
Australia,AUS,2012,712.46
Australia,AUS,2013,612.68
Australia,AUS,2014,599.84
Australia,AUS,2015,685.78
Australia,AUS,2016,632.77
Australia,AUS,2017,614.99
Australia,AUS,2018,632.9
Australia,AUS,2019,650.71
Australia,AUS,2020,651.23
Australia,AUS,2021,643.46
Australia,AUS,2022,645.07
Australia,AUS,2023,646.67
Austria,AUT,2002,1166.8
Austria,AUT,2003,1191.37
Austria,AUT,2004,1146.44
Austria,AUT,2005,1224.57
Austria,AUT,2006,910
Austria,AUT,2007,1321
Austria,AUT,2008,1139
Austria,AUT,2009,1112
Austria,AUT,2010,1168
Austria,AUT,2011,1209
Austria,AUT,2012,820.64
Austria,AUT,2013,895.96
Austria,AUT,2014,948.06
Austria,AUT,2015,828.77
Austria,AUT,2016,643.82
Austria,AUT,2017,1102
Austria,AUT,2018,650
Austria,AUT,2019,680
Austria,AUT,2020,680
Austria,AUT,2021,700
Austria,AUT,2022,700
Austria,AUT,2023,610
Azerbaijan,AZE,1992,900
Azerbaijan,AZE,1993,800
Azerbaijan,AZE,1994,800
Azerbaijan,AZE,1995,800
Azerbaijan,AZE,1996,700
Azerbaijan,AZE,1997,800
Azerbaijan,AZE,1998,500
Azerbaijan,AZE,1999,600
Azerbaijan,AZE,2000,1000
Azerbaijan,AZE,2001,1100
Azerbaijan,AZE,2002,2300
Azerbaijan,AZE,2003,4800
Azerbaijan,AZE,2004,10000
Azerbaijan,AZE,2005,10000
Azerbaijan,AZE,2006,13700
Azerbaijan,AZE,2007,8000
Azerbaijan,AZE,2008,9500
Azerbaijan,AZE,2009,10000
Azerbaijan,AZE,2010,11000
Azerbaijan,AZE,2011,11500
Azerbaijan,AZE,2012,11800
Azerbaijan,AZE,2013,12000
Azerbaijan,AZE,2014,12000
Azerbaijan,AZE,2015,11645.65
Azerbaijan,AZE,2016,11977.78
Azerbaijan,AZE,2017,11876.81
Azerbaijan,AZE,2018,11765.72
Azerbaijan,AZE,2019,11816.65
Azerbaijan,AZE,2020,11819.73
Azerbaijan,AZE,2021,11800.7
Azerbaijan,AZE,2022,11812.36
Azerbaijan,AZE,2023,11810.93
Belgium,BEL,2000,200
Belgium,BEL,2001,200
Belgium,BEL,2002,200
Belgium,BEL,2003,180
Belgium,BEL,2004,230
Belgium,BEL,2005,275
Belgium,BEL,2006,400
Belgium,BEL,2007,700
Belgium,BEL,2008,700
Belgium,BEL,2009,500
Belgium,BEL,2010,1155
Belgium,BEL,2011,850
Belgium,BEL,2012,1200
Belgium,BEL,2013,1000
Belgium,BEL,2014,1400
Belgium,BEL,2015,1803
Belgium,BEL,2016,2763
Belgium,BEL,2017,2989
Belgium,BEL,2018,2100
Belgium,BEL,2019,2100
Belgium,BEL,2020,2100
Belgium,BEL,2021,1820
Belgium,BEL,2022,2040
Belgium,BEL,2023,1720
Bosnia and Herzegovina,BIH,1992,3288
Bosnia and Herzegovina,BIH,1993,3000
Bosnia and Herzegovina,BIH,1994,2700
Bosnia and Herzegovina,BIH,1995,2534.28
Bosnia and Herzegovina,BIH,1996,2400
Bosnia and Herzegovina,BIH,1997,1800
Bosnia and Herzegovina,BIH,1998,1200
Bosnia and Herzegovina,BIH,1999,1000
Bosnia and Herzegovina,BIH,2000,2000
Bosnia and Herzegovina,BIH,2001,3372
Bosnia and Herzegovina,BIH,2002,2500
Bosnia and Herzegovina,BIH,2003,1719
Bosnia and Herzegovina,BIH,2004,1700
Bosnia and Herzegovina,BIH,2005,4118.35
Bosnia and Herzegovina,BIH,2006,6452
Bosnia and Herzegovina,BIH,2007,8032
Bosnia and Herzegovina,BIH,2008,7483
Bosnia and Herzegovina,BIH,2009,8487
Bosnia and Herzegovina,BIH,2010,7937
Bosnia and Herzegovina,BIH,2011,9459
Bosnia and Herzegovina,BIH,2012,7016
Bosnia and Herzegovina,BIH,2013,9075
Bosnia and Herzegovina,BIH,2014,10613
Bosnia and Herzegovina,BIH,2015,13631
Bosnia and Herzegovina,BIH,2016,22160
Bosnia and Herzegovina,BIH,2017,22670.8
Bosnia and Herzegovina,BIH,2018,27466
Bosnia and Herzegovina,BIH,2019,19749
Bosnia and Herzegovina,BIH,2020,18794
Bosnia and Herzegovina,BIH,2021,16833
Bosnia and Herzegovina,BIH,2022,12188
Bosnia and Herzegovina,BIH,2023,12080
Bulgaria,BGR,1961,6000
Bulgaria,BGR,1962,6000
Bulgaria,BGR,1963,6500
Bulgaria,BGR,1964,6500
Bulgaria,BGR,1965,6800
Bulgaria,BGR,1966,7000
Bulgaria,BGR,1967,7300
Bulgaria,BGR,1968,7500
Bulgaria,BGR,1969,8126
Bulgaria,BGR,1970,10399
Bulgaria,BGR,1971,14411
Bulgaria,BGR,1972,12045
Bulgaria,BGR,1973,11937
Bulgaria,BGR,1974,8537
Bulgaria,BGR,1975,9016
Bulgaria,BGR,1976,8403
Bulgaria,BGR,1977,9195
Bulgaria,BGR,1978,8733
Bulgaria,BGR,1979,7207
Bulgaria,BGR,1980,5857
Bulgaria,BGR,1981,8145
Bulgaria,BGR,1982,8243
Bulgaria,BGR,1983,5711
Bulgaria,BGR,1984,6891
Bulgaria,BGR,1985,5604
Bulgaria,BGR,1986,6817
Bulgaria,BGR,1987,5376
Bulgaria,BGR,1988,4101
Bulgaria,BGR,1989,3781
Bulgaria,BGR,1990,4165
Bulgaria,BGR,1991,3654
Bulgaria,BGR,1992,4344
Bulgaria,BGR,1993,1000
Bulgaria,BGR,1994,2223
Bulgaria,BGR,1995,2569
Bulgaria,BGR,1996,1500
Bulgaria,BGR,1997,2500
Bulgaria,BGR,1998,2805
Bulgaria,BGR,1999,3000
Bulgaria,BGR,2000,3000
Bulgaria,BGR,2001,3147
Bulgaria,BGR,2002,3938
Bulgaria,BGR,2003,4083
Bulgaria,BGR,2004,5606
Bulgaria,BGR,2005,3897
Bulgaria,BGR,2006,5766
Bulgaria,BGR,2007,3711
Bulgaria,BGR,2008,3540
Bulgaria,BGR,2009,3510
Bulgaria,BGR,2010,6109
Bulgaria,BGR,2011,7650
Bulgaria,BGR,2012,4850
Bulgaria,BGR,2013,5491
Bulgaria,BGR,2014,4569
Bulgaria,BGR,2015,6845
Bulgaria,BGR,2016,8398
Bulgaria,BGR,2017,7476
Bulgaria,BGR,2018,7450
Bulgaria,BGR,2019,7130
Bulgaria,BGR,2020,6170
Bulgaria,BGR,2021,5560
Bulgaria,BGR,2022,5690
Bulgaria,BGR,2023,5660
Canada,CAN,1961,6489
Canada,CAN,1962,6357
Canada,CAN,1963,8320
Canada,CAN,1964,9447
Canada,CAN,1965,8096
Canada,CAN,1966,9607
Canada,CAN,1967,9958
Canada,CAN,1968,7590
Canada,CAN,1969,8111
Canada,CAN,1970,6676
Canada,CAN,1971,5816
Canada,CAN,1972,5973
Canada,CAN,1973,5917
Canada,CAN,1974,6200
Canada,CAN,1975,6874
Canada,CAN,1976,6648
Canada,CAN,1977,7485
Canada,CAN,1978,7394
Canada,CAN,1979,7563
Canada,CAN,1980,8942
Canada,CAN,1981,9065
Canada,CAN,1982,12856
Canada,CAN,1983,15484
Canada,CAN,1984,14999
Canada,CAN,1985,15263
Canada,CAN,1986,13110
Canada,CAN,1987,22894
Canada,CAN,1988,21494
Canada,CAN,1989,21746
Canada,CAN,1990,14213
Canada,CAN,1991,13160
Canada,CAN,1992,16812
Canada,CAN,1993,17091
Canada,CAN,1994,19860
Canada,CAN,1995,16139
Canada,CAN,1996,13974
Canada,CAN,1997,17207
Canada,CAN,1998,15470
Canada,CAN,1999,17348
Canada,CAN,2000,17524
Canada,CAN,2001,14583
Canada,CAN,2002,14880
Canada,CAN,2003,14236
Canada,CAN,2004,13340
Canada,CAN,2005,12975
Canada,CAN,2006,11579
Canada,CAN,2007,12390
Canada,CAN,2008,11825
Canada,CAN,2009,12672
Canada,CAN,2010,11864
Canada,CAN,2011,13418
Canada,CAN,2012,12323
Canada,CAN,2013,11281
Canada,CAN,2014,12718
Canada,CAN,2015,10868
Canada,CAN,2016,11670
Canada,CAN,2017,10743
Canada,CAN,2018,10338
Canada,CAN,2019,9145
Canada,CAN,2020,7608
Canada,CAN,2021,5541
Canada,CAN,2022,6907
Canada,CAN,2023,6720
Chile,CHL,1991,15856.52
Chile,CHL,1992,15912.44
Chile,CHL,1993,15968.36
Chile,CHL,1994,16024.27
Chile,CHL,1995,16080.19
Chile,CHL,1996,16136.11
Chile,CHL,1997,16192.02
Chile,CHL,1998,16247.94
Chile,CHL,1999,16303.86
Chile,CHL,2000,16359.77
Chile,CHL,2001,16415.69
Chile,CHL,2002,16471.61
Chile,CHL,2003,16535.09
Chile,CHL,2004,15534.82
Chile,CHL,2005,16383.85
Chile,CHL,2006,17594.15
Chile,CHL,2007,17379.78
Chile,CHL,2008,17284.46
Chile,CHL,2009,17135.18
Chile,CHL,2010,16896.41
Chile,CHL,2011,17056.04
Chile,CHL,2012,17292.99
Chile,CHL,2013,13547.37
Chile,CHL,2014,13499.49
Chile,CHL,2015,18287.15
Chile,CHL,2016,19030.4
Chile,CHL,2017,19191.2
Chile,CHL,2018,19444.53
Chile,CHL,2019,15824.93
Chile,CHL,2020,15945.97
Chile,CHL,2021,15847.31
Chile,CHL,2022,11745.56
Chile,CHL,2023,11834.98
Croatia,HRV,1992,235
Croatia,HRV,1993,424
Croatia,HRV,1994,606
Croatia,HRV,1995,592
Croatia,HRV,1996,707
Croatia,HRV,1997,873
Croatia,HRV,1998,1020
Croatia,HRV,1999,1152
Croatia,HRV,2000,959
Croatia,HRV,2001,893
Croatia,HRV,2002,916
Croatia,HRV,2003,771
Croatia,HRV,2004,800
Croatia,HRV,2005,744.38
Croatia,HRV,2006,713.62
Croatia,HRV,2007,694.43
Croatia,HRV,2008,647.38
Croatia,HRV,2009,556.84
Croatia,HRV,2010,480.35
Croatia,HRV,2011,395.5
Croatia,HRV,2012,305.62
Croatia,HRV,2013,221
Croatia,HRV,2014,41
Croatia,HRV,2015,189.21
Croatia,HRV,2016,133
Croatia,HRV,2017,78
Croatia,HRV,2018,110
Croatia,HRV,2019,550
Croatia,HRV,2020,300
Croatia,HRV,2021,100
Croatia,HRV,2022,170
Croatia,HRV,2023,160
Czechia,CZE,1993,702.48
Czechia,CZE,1994,789
Czechia,CZE,1995,687
Czechia,CZE,1996,824
Czechia,CZE,1997,756
Czechia,CZE,1998,741
Czechia,CZE,1999,700
Czechia,CZE,2000,727
Czechia,CZE,2001,488
Czechia,CZE,2002,39
Czechia,CZE,2003,30
Czechia,CZE,2004,33
Czechia,CZE,2005,28
Czechia,CZE,2006,65
Czechia,CZE,2007,23
Czechia,CZE,2008,50
Czechia,CZE,2009,42.92
Czechia,CZE,2010,30.75
Czechia,CZE,2011,26.93
Czechia,CZE,2012,26.97
Czechia,CZE,2013,26.97
Czechia,CZE,2014,32.57
Czechia,CZE,2015,37.94
Czechia,CZE,2016,37.82
Czechia,CZE,2017,30.29
Czechia,CZE,2018,100
Czechia,CZE,2019,120
Czechia,CZE,2020,50
Czechia,CZE,2021,40
Czechia,CZE,2022,50
Czechia,CZE,2023,80
Czechoslovakia,CSK,1961,500
Czechoslovakia,CSK,1962,500
Czechoslovakia,CSK,1963,500
Czechoslovakia,CSK,1964,500
Czechoslovakia,CSK,1965,500
Czechoslovakia,CSK,1966,500
Czechoslovakia,CSK,1967,500
Czechoslovakia,CSK,1968,500
Czechoslovakia,CSK,1969,500
Czechoslovakia,CSK,1970,500
Czechoslovakia,CSK,1971,500
Czechoslovakia,CSK,1972,1132
Czechoslovakia,CSK,1973,1066
Czechoslovakia,CSK,1974,1066
Czechoslovakia,CSK,1975,1209
Czechoslovakia,CSK,1976,1257
Czechoslovakia,CSK,1977,1257
Czechoslovakia,CSK,1978,1208
Czechoslovakia,CSK,1979,1326
Czechoslovakia,CSK,1980,682
Czechoslovakia,CSK,1981,818
Czechoslovakia,CSK,1982,826
Czechoslovakia,CSK,1983,1086
Czechoslovakia,CSK,1984,881
Czechoslovakia,CSK,1985,1433
Czechoslovakia,CSK,1986,1757
Czechoslovakia,CSK,1987,997
Czechoslovakia,CSK,1988,1000
Czechoslovakia,CSK,1989,1100
Czechoslovakia,CSK,1990,1000
Czechoslovakia,CSK,1991,955
Czechoslovakia,CSK,1992,900
Denmark,DNK,1961,1000
Denmark,DNK,1962,800
Denmark,DNK,1963,965
Denmark,DNK,1964,1197
Denmark,DNK,1965,1441
Denmark,DNK,1966,1610
Denmark,DNK,1967,1453
Denmark,DNK,1968,1518
Denmark,DNK,1969,925
Denmark,DNK,1970,1527
Denmark,DNK,1971,622
Denmark,DNK,1972,626
Denmark,DNK,1973,801
Denmark,DNK,1974,467
Denmark,DNK,1975,636
Denmark,DNK,1976,320
Denmark,DNK,1977,377
Denmark,DNK,1978,196
Denmark,DNK,1979,224
Denmark,DNK,1980,217
Denmark,DNK,1981,187
Denmark,DNK,1982,273
Denmark,DNK,1983,225
Denmark,DNK,1984,210
Denmark,DNK,1985,239
Denmark,DNK,1986,200
Denmark,DNK,1987,173
Denmark,DNK,1988,180
Denmark,DNK,1989,200
Denmark,DNK,1990,275
Denmark,DNK,1991,82.42
Denmark,DNK,1992,81.63
Denmark,DNK,1993,81.09
Denmark,DNK,1994,79.01
Denmark,DNK,1995,83.51
Denmark,DNK,1996,100
Denmark,DNK,1997,70
Denmark,DNK,1998,100
Denmark,DNK,1999,80
Denmark,DNK,2000,77.79
Denmark,DNK,2001,70
Denmark,DNK,2002,60
Denmark,DNK,2003,51
Denmark,DNK,2004,62
Denmark,DNK,2005,65
Denmark,DNK,2006,69.85
Denmark,DNK,2007,69.54
Denmark,DNK,2008,67.52
Denmark,DNK,2009,65
Denmark,DNK,2010,95
Denmark,DNK,2011,73
Denmark,DNK,2012,73
Denmark,DNK,2013,97
Denmark,DNK,2014,94
Denmark,DNK,2015,94
Denmark,DNK,2016,100
Denmark,DNK,2017,138
Denmark,DNK,2018,170
Denmark,DNK,2019,180
Denmark,DNK,2020,360
Denmark,DNK,2021,400
Denmark,DNK,2022,240
Denmark,DNK,2023,630
Estonia,EST,1992,456
Estonia,EST,1993,314
Estonia,EST,1994,330
Estonia,EST,1995,606
Estonia,EST,1996,195
Estonia,EST,1997,182
Estonia,EST,1998,116
Estonia,EST,1999,101
Estonia,EST,2000,90
Estonia,EST,2001,368
Estonia,EST,2002,535
Estonia,EST,2003,401
Estonia,EST,2004,317
Estonia,EST,2005,544
Estonia,EST,2006,236
Estonia,EST,2007,210
Estonia,EST,2008,256
Estonia,EST,2009,213
Estonia,EST,2010,282
Estonia,EST,2011,160
Estonia,EST,2012,193
Estonia,EST,2013,147
Estonia,EST,2014,137
Estonia,EST,2015,207
Estonia,EST,2016,176
Estonia,EST,2017,164
Estonia,EST,2018,130
Estonia,EST,2019,190
Estonia,EST,2020,120
Estonia,EST,2021,170
Estonia,EST,2022,100
Estonia,EST,2023,70
Finland,FIN,1961,300
Finland,FIN,1962,200
Finland,FIN,1963,200
Finland,FIN,1964,200
Finland,FIN,1965,300
Finland,FIN,1966,200
Finland,FIN,1967,200
Finland,FIN,1968,200
Finland,FIN,1969,200
Finland,FIN,1970,200
Finland,FIN,1971,200
Finland,FIN,1972,640
Finland,FIN,1973,470
Finland,FIN,1974,400
Finland,FIN,1975,300
Finland,FIN,1976,540
Finland,FIN,1977,400
Finland,FIN,1978,300
Finland,FIN,1979,330
Finland,FIN,1980,390
Finland,FIN,1981,320
Finland,FIN,1982,270
Finland,FIN,1983,280
Finland,FIN,1984,300
Finland,FIN,1985,100
Finland,FIN,1986,200
Finland,FIN,1987,100
Finland,FIN,1988,100
Finland,FIN,1989,200
Finland,FIN,1990,170
Finland,FIN,1991,208
Finland,FIN,1992,258
Finland,FIN,1993,184
Finland,FIN,1994,228
Finland,FIN,1995,308
Finland,FIN,1996,323
Finland,FIN,1997,265
Finland,FIN,1998,265
Finland,FIN,1999,307
Finland,FIN,2000,457
Finland,FIN,2001,418
Finland,FIN,2002,539
Finland,FIN,2003,540
Finland,FIN,2004,378
Finland,FIN,2005,608
Finland,FIN,2006,524
Finland,FIN,2007,436
Finland,FIN,2008,534
Finland,FIN,2009,567
Finland,FIN,2010,529
Finland,FIN,2011,696
Finland,FIN,2012,651
Finland,FIN,2013,737
Finland,FIN,2014,775
Finland,FIN,2015,1009
Finland,FIN,2016,1312
Finland,FIN,2017,1071
Finland,FIN,2018,950
Finland,FIN,2019,1310
Finland,FIN,2020,1300
Finland,FIN,2021,1460
Finland,FIN,2022,1470
Finland,FIN,2023,1370
France,FRA,1961,3910
France,FRA,1962,2930
France,FRA,1963,3830
France,FRA,1964,3640
France,FRA,1965,4690
France,FRA,1966,4686
France,FRA,1967,4673
France,FRA,1968,4707
France,FRA,1969,5227
France,FRA,1970,5040
France,FRA,1971,5900
France,FRA,1972,6500
France,FRA,1973,7040
France,FRA,1974,6580
France,FRA,1975,7265
France,FRA,1976,5176
France,FRA,1977,4966
France,FRA,1978,6980
France,FRA,1979,6900
France,FRA,1980,6900
France,FRA,1981,6600
France,FRA,1982,7100
France,FRA,1983,6600
France,FRA,1984,7000
France,FRA,1985,6300
France,FRA,1986,5800
France,FRA,1987,6100
France,FRA,1988,6700
France,FRA,1989,6268
France,FRA,1990,6402
France,FRA,1991,5714.5
France,FRA,1992,8272.8
France,FRA,1993,7821.1
France,FRA,1994,7727.3
France,FRA,1995,6569.1
France,FRA,1996,6634.8
France,FRA,1997,6031.3
France,FRA,1998,6390.1
France,FRA,1999,7989.7
France,FRA,2000,8061.5
France,FRA,2001,7841.4
France,FRA,2002,7795.3
France,FRA,2003,6791
France,FRA,2004,6484
France,FRA,2005,5890.4
France,FRA,2006,6019.4
France,FRA,2007,5144.3
France,FRA,2008,6219
France,FRA,2009,7368.2
France,FRA,2010,3590
France,FRA,2011,3722.3
France,FRA,2012,3317
France,FRA,2013,4047
France,FRA,2014,4497
France,FRA,2015,4242
France,FRA,2016,3921.9
France,FRA,2017,4627.1
France,FRA,2018,5030
France,FRA,2019,5450
France,FRA,2020,5210
France,FRA,2021,5140
France,FRA,2022,5970
France,FRA,2023,6300
Georgia,GEO,2019,600
Georgia,GEO,2020,500
Georgia,GEO,2021,600
Georgia,GEO,2022,1200
Georgia,GEO,2023,1200
Germany,DEU,1961,20212
Germany,DEU,1962,20765
Germany,DEU,1963,22423
Germany,DEU,1964,20663
Germany,DEU,1965,20848
Germany,DEU,1966,25092
Germany,DEU,1967,22403
Germany,DEU,1968,24282
Germany,DEU,1969,24896
Germany,DEU,1970,24807
Germany,DEU,1971,22111
Germany,DEU,1972,22054
Germany,DEU,1973,22829
Germany,DEU,1974,20400
Germany,DEU,1975,23378
Germany,DEU,1976,18427
Germany,DEU,1977,18295
Germany,DEU,1978,22194
Germany,DEU,1979,22457
Germany,DEU,1980,20603
Germany,DEU,1981,18955
Germany,DEU,1982,23855
Germany,DEU,1983,24651
Germany,DEU,1984,26586
Germany,DEU,1985,26371
Germany,DEU,1986,25000
Germany,DEU,1987,25000
Germany,DEU,1988,28000
Germany,DEU,1989,30000
Germany,DEU,1990,27241
